,Image_Name,Real_Caption,Pred_Caption
1086,8_120/00145.jpg,like this yet but also we're gonna say public void set temp and agai,that's going to copy this and we're gonna hit that time instead of creating this for the most part and that's the sam
1090,8_120/00152.jpg,going to be the same concept we're gonna get passed in an int we're gonn,class and that's being passed in and after we set this result to try to be a string or whatever was the curso
1096,8_120/00167.jpg,equal to be whatever is being passed in is t so now again we have a metho,again we're gonna set this equal to basically where this is basically the string and we're going to <end
1106,8_120/00187.jpg,our textview so it needs to be a string we're just gonna say data t,int and it's going to copy this equal to basically our expression class and then we just cuz oops and the the mos
1131,8_120/00237.jpg,space degrees actually so i just thought i'd show you guys this before we ge,know these variables and that's gonna say our string and then our cursor dot and what we're just gonna say our string an
1156,8_120/00312.jpg,we're getting passed in so what we're gonna do is we're gonna sa,all of our database and for the most part and all we have to again we're going to learn is equal to whateve
1185,8_108/00089.jpg,just gonna scroll up to where we said get data before because this is kin,that's going to initially set it start at the value of our database and the database for the first parameter yeah we hav
1189,8_108/00096.jpg,our name is our second column that's position 1 and this is positioned to,position after the last row four index array up here a new string the database and then it's going to add a ne
1190,8_108/00103.jpg,if we're returning our name we can also just say if we know which column i,that's our cursor is at the index row 1 and then we're going to set this equal to result and we're going t
1193,8_108/00106.jpg,our cursor is set to null it's just going to return a null so it',going to pass in our database and we're going to create another method here we can catch you know our database and we'r
1309,8_28/00140.jpg,need to create three buttons are three basically uh images and add it t,but yeah fullscreen so here is basically we're going to read through some graphics aren't following for us sorry but again we ge
1316,8_28/00148.jpg,so we're going to do is we're going to say custom button right in her,reference this package name basically this package name so you know add that again set up this is gonna right here so we'r
1327,8_28/00175.jpg,choose that within this option here and then hit finish and it shoul,want you to show you guys how we can find and scroll down here in you don't open up our orientation we're goin
1370,8_14/00209.jpg,again it's an xml file within our drawable folder but that's fine no,other but since we briefly talked on top one other one that we briefly talked on top of a tutorial we had thi
1423,8_14/00410.jpg,activity i think or the whole application i should say so agai,so what is just right-click from the start activity to keep track of this activity result and basically our start activity result an
1462,8_15/00107.jpg,then we just have to import that and implement the method from the ma,be pretty quick example of that and to keep track of that our controller or it's just for this on location listener lik
1566,8_15/00370.jpg,so there we go um now we have this magic magi,it's centering basically when they only two buttons so to the left of there that would just the left you do is we'r
1651,8_29/00264.jpg,the new boston as well and then we have a resource folder and here',then we have this up but basically type what java jdk i'm going to do is type on windows and the android folde
1652,8_29/00265.jpg,drawable that's where we're going to drag and drop this image int,but as new other tutorial for the new yet so this tutorials ago we take a lot of our starting point so th
1655,8_29/00272.jpg,into our rar folder again if you guys don't have a ra,to basically start again this point one two or whatever you guys welcome to your windows one is your setup so you guy
1678,8_109/00030.jpg,go to other and then under this android folder again we're going t,call the other time you guys to go over to our menu as you just been following in this tutorial is within <end
1680,8_109/00033.jpg,android xml to setup a new layout we hit next and then we have a we have t,then at least two so just copy and we're going to add a good and that's basically basically just basically just drag an
1704,8_109/00093.jpg,the p&amp;g or the extension you're going to get an air as well so you don't wan,show you guys were probably pretty easy for the new class we're going to do is set up so there we go that'
1769,8_109/00308.jpg,use this blue that they have set up and there we go pretty muc,accessible to be color or the default basically the code so it's private void and let's get rid of the code but els
1771,8_109/00313.jpg,you guys simple stuff for the most part i just wanted to show you guy,text play display your total is space here hit this two within this tutorial i just created it's set this where's dot se
1777,8_109/00325.jpg,and we're first gonna do is kind of talk about some of these parameters tha,called random and so there we go every time this you know numbers that we have this didn't want to do that i
1801,8_109/00384.jpg,less than n which is you know the length less than n which is you know th,to create toast and display a toast that's short and also have like a toast make text and and also have to d
1820,8_109/00429.jpg,say context because again we're getting passed into context we're just goin,gonna do is say int ran random position so there we go every time this you know numbers that we have a goo
1843,8_121/00238.jpg,of a concept where you can't understand what's goin,to create a the emulator but since we're gonna hit dot and an update on pause method and a toast so <end
1887,8_135/00127.jpg,the new bossin and it looks like it looks lik,to change the stars and you know if i forgot we're gonna gonna hit dot and then we set this up to thin
1890,8_135/00152.jpg,those guidelines properly but i'm just gonna change that real quick withi,want to show you guys in the next tutorial i don't know you know hit dot and it's gonna kind of set <end
1975,8_119/00049.jpg,result we need to import that method basically on activity results s,dot set this key and we're going to do again whenever this class again you can see this is going to refer t
2025,8_119/00195.jpg,textview fine view by d r dot id dot tv show results or whatever you guy,and then just hit new text-to-speech and we're going to do it has the on click method to send view and so agai
2074,8_131/00159.jpg,set up a new type of variable along result and this is going to be equa,say our milliseconds so we're just going to set up a a slider because that's going to do is we have some sor
2083,8_131/00174.jpg,took the person to go from start to stop and then we're going to say ou,so i'm sorry right here so i'm sorry right here so you can see it didn't that problem real quickly hopefully when w
2097,8_131/00205.jpg,and we're done i mean basically all we did is we got the current time a,so there we go so control yeah we're also going to set up a pretty simple now basically that maybe yeah we're gonn
2148,8_125/00167.jpg,you tell me what to do and then that's what we set up within our o,this one as well as for this second points again the gl 10 class and we unlocked our on draw our <end
2155,8_125/00207.jpg,this clear command and how we do that is again i don't know what that symbo,performance and also we have three choices that good stuff so we're just gonna start everything else we need to change this righ
2283,8_39/00139.jpg,config and we're gonna have our edit text also just be et widge,it's not for both of our sliding drawer and let's check this out everything's looking pretty good <end
2289,8_39/00151.jpg,need to set up our actual widget so this is the widget xml file all we'r,underscore folder if i don't get into the open view class here we go over the tutorial is just a activity make o
2351,8_38/00037.jpg,"power but for 330 minutes we're gonna say 180,000 seconds or millisecond",dot the new boston dot travis dot travis and our configuration going to be every year roughly every that this widget underscore confi
2363,8_38/00074.jpg,it's not that great but you can go into more detail there so i'll catch yo,gonna get into the xml layout with some of those four basically what's so this layout these classes that by right-clicking on <end
2366,8_38/00084.jpg,we're still going to be working with our google maps activity what we're goin,this in last point the location so we're gonna go you know we'll get longitude i'm going to help you need to creat
2390,8_38/00145.jpg,dot get y and both those are returning floats and again this is an intege,you know an error because the second for the most part that's greater than like action is even leave a comment because th
2414,8_38/00198.jpg,button because we're gonna basically display the address so we're gonn,which we can also do is we're going to set up our geo underscore pinpoint and just to set as it's a custo
2419,8_38/00227.jpg,that and then a delete the type there and paste it above as well so now w,controller object that's gonna be pretty much all those text and we're gonna call this controller is going to be it's gonna typ
2421,8_38/00240.jpg,that and then a delete the type there and paste it above as well so now w,this controller now what we have to add the control yeah controller or control yeah controller and we're gonna call this geo poin
2451,8_10/00034.jpg,but again that's what the geo coder is and we also set up basically a ge,which is our drawable and also learn about in this it's going to set up a little activity for us so just t
2458,8_10/00050.jpg,we're setting our set onclicklistener and then basically just so we ca,back to a toggle is so we're going to do the most part then we're going to have a good review but <end
2501,8_10/00217.jpg,method which is basically that string and all the other good stuff jus,you guys kind of understand and we can just place it within this method that we just copy one and we can jus
2515,8_10/00252.jpg,to say v right there and then we're just going to kind of delete it out o,can just place it within this is just place it color or cut this else and can just place random color here <end
2529,8_10/00278.jpg,this code and instead of doing a new view we're going to just sa,that one in the xml stuff like that one in there since we imported the time so we can use the onclicklistener s
2642,8_118/00016.jpg,guys need permission for the internet so i forgot to add it to the men,all this tutorial again just all that now the edit text this actually want to show this again or i'm going to don'
2653,8_118/00044.jpg,for this web view type object but let's just make sure we check out ou,again the apk hit this application again with our view i said i save it starts or the text so it's kind <end
2655,8_118/00052.jpg,browser we click on it as of now nothing is there and then we're hopefull,and the point so you guys enjoyed that and we're going to look for the video confusing for the most part a ne
2727,8_118/00286.jpg,gonna say metadata oops and we're going to give this ,not going to start first because we're going to make this i can keep point again this by using this metadata the resourc
2739,8_126/00043.jpg,android name is equal to android dot up wit again dot provider and we'r,not what that has to start off some space to this text and we're going to do real quick if you can ge
2778,8_126/00155.jpg,again gonna do just allow us to access that status bar and you know clea,our on create method that's pretty simple up so how we need to set up our edit text that we created our xm
2819,8_126/00340.jpg,anything again we're just gonna refer to the class that it opens so we'r,gonna say get and we're gonna call this body because it's gonna say if statement there we go now we're gonna do tha
2845,8_126/00407.jpg,so as it is just clip the video save some time but basically i just sai,over into our drawable folder so there so now we can just copy this it's going to show you guys kind of th
2849,8_126/00422.jpg,good so now what we're gonna do is we're basically going to go into our yo,just kind of a second and now we have our surface view so we're not a surface view so we're just going t
2866,8_126/00496.jpg,there we go we kind of have our scale variables set up now what we'r,just put like sleep we're gonna say case to have our plus our motion event dot get any errors it's gonna get an
2878,8_132/00020.jpg,print a ball again just centered everything is pretty much the sam,again we can still get height there so now when we say motion a common motion our starting y and then we're gonn
2912,8_132/00139.jpg,bundle we're going to say got basket first then you guys will have t,so we're going to set up variables all we're gonna do is type bitmap is going to be a string builder we wan
2947,8_132/00269.jpg,equal to which is question we're going to say dot set text and then we'r,space to the first type string and then again we're just gonna refer to the same thing we have a little bit overrid
2979,8_12/00089.jpg,basically the bridge from xml so i'm going to set that up real quickl,are going to say this state above our selection list because again we just have there we go we get set this u
2987,8_12/00102.jpg,the initialize method and just kind of have to refer that prett,are using or whatever our pause so then we can say open clasp right now what we want to show you <end
3009,8_12/00146.jpg,again alright hopefully everything works now but uh alright that's bette,what the default package i'm going to say travis and that's going to show you guys edit one this is kind of typ
3010,8_12/00147.jpg,and then we're gonna say jessica alba is and then startactivity perfect a,use the way that won't might already already this is just open and write some buttons there we go but keep all thre
3028,8_12/00225.jpg,protected data protected void on pre execute and again we can refe,about we're going to give it our variable that's fine i don't really tedious thing that through this run for <end
3042,8_13/00039.jpg,variables some for setting up something and we get that f or that string an,to return a resume way with within parentheses and we're going to do is we need to reference it adds our columns an
3045,8_13/00044.jpg,can just set that equal to whatever and there w,dialog equals new progress called my hotness there we go we might do is create method again we're just going to set thi
3140,8_133/00109.jpg,[music] array which is basically going t,let me say public so what we need to close our aren't actually need to close creates progress dialog is going to sa
3239,8_127/00122.jpg,add you know are touchy that we have set up down here touching class so no,and that's what we're gonna animate you we can also set our ad it takes at the point class to this geo <end
